,publisher,short_journal_title,issue,volume,title,page,DOI,is_referenced_by_count,references_count,first_author_given_name,first_author_family_name,issued_year,issued_month,issued_day
2817,Wiley,CLEAN Soil Air Water,7,40,"Heavy Metal Contamination in Arable Soils and Vegetables around a Sulfuric Acid Factory, China",766-772,10.1002/clen.201100550,23,35,Juan,Liu,2012,5.0,18.0
2818,Springer Science and Business Media LLC,Water Air Soil Pollut,4,224,"Distribution and Contamination of Heavy Metal in the Coastal Sediments of Port Klang, Selangor, Malaysia",,10.1007/s11270-013-1476-6,63,96,Seyedeh Belin,Tavakoly Sany,2013,3.0,12.0
2819,Allerton Press,Moscow Univ. Soil Sci. Bull.,3,67,Ecological-economic assessment of natural and agricultural lands of the Tula region under radioactive contamination,137-142,10.3103/s0147687412030052,1,12,E. V.,Tsvetnov,2012,7.0,
2820,Frontiers Media SA,Span. J. Soil Sci.,,1,"Characterization of the potential mercury contamination in the Apolobamba gold mining area, Bolivia .",,10.3232/sjss.2011.v1.n1.06,0,0,José A.,Acosta,2014,9.0,4.0
2821,Springer Science and Business Media LLC,Bull Environ Contam Toxicol,3,82,Relationships Between Leaching of Methylmercury from the Soil and the Basic Characteristics of Alkali Soil Polluted by Mercury in Guizhou China,363-366,10.1007/s00128-008-9612-5,5,11,A.,Matsuyama,2008,12.0,3.0
2822,Springer Science and Business Media LLC,Water Air Soil Pollut,3-4,66,"Potential Pb, Cd, Zn and B contamination of sandy soils after different irrigation periods with sewage effluent",239-249,10.1007/bf00479848,22,30,A. S.,El-Hassanin,1993,2.0,
2823,Springer Science and Business Media LLC,Water Air Soil Pollut,1-4,211,"Recovery from Mercury Contamination in the Second Songhua River, China",219-229,10.1007/s11270-009-0294-3,15,21,Z. S.,Zhang,2009,12.0,18.0
2824,Springer Science and Business Media LLC,Water Air Soil Pollut,1-4,166,State of Contamination of the Waters in the Guadiamar Valley Five Years after the AznalcÓllar Spill,103-119,10.1007/s11270-005-8201-z,17,21,M.,OlÍas,2005,9.0,
2825,Elsevier BV,Soil and Tillage Research,,220,"Improved nitrogen use efficiency, carbon sequestration and reduced environmental contamination under a gradient of manure application",105386,10.1016/j.still.2022.105386,7,79,Jun,Xie,2022,6.0,
2826,Elsevier BV,Soil Biology and Biochemistry,4,34,"Rhizobium leguminosarum bv. viciae populations in soils with increasing heavy metal contamination: abundance, plasmid profiles, diversity and metal tolerance",519-529,10.1016/s0038-0717(01)00210-3,65,32,Amir,Lakzian,2002,4.0,
2827,UPT Penerbitan Universitas Jember,jAMS,3,5,"Difference between Location of Soil with Risk of Contamination of Soil-transmitted Helmints Eggs and Larvae  (Observational Study of Coffee Plantation Area in Silo District, Jember Regency)",136,10.19184/ams.v5i3.9468,0,0,Rezza Putri,Mahartika,2019,9.0,18.0
2828,Springer Science and Business Media LLC,"Water, Air, and Soil Pollution",1,56,Mercury contamination of the harbour porpoise Phocoena phocoena and other cetaceans from the North Sea and the kattegat,283-293,10.1007/bf00342277,38,30,C. R.,Joiris,1991,4.0,
2829,Springer Science and Business Media LLC,Water Air Soil Pollut,6,223,Digestive Cecum and Tissue Redistribution in Gills of Telescopium telescopium as Indicators of Ni Bioavailabilities and Contamination in Tropical Intertidal Areas,2891-2905,10.1007/s11270-012-1073-0,5,67,C. K.,Yap,2012,1.0,21.0
2830,Informa UK Limited,Soil Science and Plant Nutrition,6,60,Preface to the special section “Contamination of Agro-Environment and Forestry with Radionuclides from the Fukushima Daiichi Nuclear Power Station”,749-750,10.1080/00380768.2014.970609,0,8,Masanori,Saito,2014,11.0,2.0
2831,Springer Science and Business Media LLC,Water Air Soil Pollut,8,233,Contemporary Contamination of Urban Floodplains in Chennai (India),,10.1007/s11270-022-05785-5,0,91,Luisa,Bellanova,2022,7.0,27.0
2832,Universitas Muhammadiyah Surabaya,Qanun Medika,1,4,"Contamination of water and soil of rice fields with soil transmitted helminths as source of transmission to farmers in Grogol sub-district, Kediri district",51,10.30651/jqm.v4i1.3402,0,0,Siti,Munawaroh,2020,1.0,27.0
2833,Springer Science and Business Media LLC,BMC Molecular Biol,1,12,High throughput nano-liter RT-qPCR to classify soil contamination using a soil arthropod,,10.1186/1471-2199-12-11,18,67,Muriel E,de Boer,2011,3.0,1.0
2834,Soil and Water Conservation Society,Journal of Soil and Water Conservation,4,77,"Environmental impact of the historical slag pile at Davenport, Iowa, United States: Trace metal contamination in soils and terrestrial vegetation",365-371,10.2489/jswc.2022.00134,0,0,A.,Singh,2022,,
2835,MDPI AG,Soil Systems,4,7,Heavy Metals in Wetland Ecosystem: Investigating Metal Contamination in Waterbirds via Primary Feathers and Its Effect on Population and Diversity,104,10.3390/soilsystems7040104,0,73,Jeganathan,Pandiyan,2023,11.0,16.0
2836,Springer Science and Business Media LLC,Water Air Soil Pollut,8,225,Impact of Wastewater Release on the Faecal Contamination of a Small Urban River: The Zenne River in Brussels (Belgium),,10.1007/s11270-014-2043-5,29,28,Nouho Koffi,Ouattara,2014,7.0,2.0
2837,Wiley,CLEAN Soil Air Water,11,40,"Effect of Sample Digestion, Air Filter Contamination, and Post‐adsorption on the Analysis of Trace Elements in Air Particulate Matter",1217-1221,10.1002/clen.201100134,2,27,Xiao Jin,Yang,2012,8.0,9.0
2838,Springer Science and Business Media LLC,Water Air Soil Pollut,8,225,"Agricultural Reuse of the Digestate from Anaerobic Co-Digestion of Organic Waste: Microbiological Contamination, Metal Hazards and Fertilizing Performance",,10.1007/s11270-014-2046-2,60,55,Silvia,Bonetta,2014,7.0,4.0
2839,Springer Science and Business Media LLC,Water Air Soil Pollut,3-4,75,The dynamics of vegetation contamination by radionuclides on a tide washed pasture in the Mersey Estuary,265-275,10.1007/bf00482940,4,18,S. R.,Jones,1994,6.0,
2840,Saint Petersburg State University of Architecture and Civil Engineering (SPSUACE),ВГИ,1,20,The effect of sandy soil contamination with petroleum products on the soil`s physical properties,57-66,10.23968/1999-5571-2023-20-1-57-66,0,0,A. V.,Kvashuk,2023,,
2841,Springer Science and Business Media LLC,Water Air Soil Pollut,1-4,163,Ecological Risk Assessment of Riverine Contamination in the Caspian Sea Basin: A Conceptual Model for Persistent Organochlorinated Compounds,33-51,10.1007/s11270-005-8134-6,4,53,Rauf V.,Galiulin,2005,5.0,
2842,Springer Science and Business Media LLC,Water Air Soil Pollut,11,232,"Heavy Metal Distribution, Sources and Contamination Assessment in Polluted Marine Sediments: Keratsini Outfall Sewer Area, Saronikos Gulf, Greece",,10.1007/s11270-021-05400-z,3,84,Anastasia,Gkaragkouni,2021,11.0,
2843,Springer Science and Business Media LLC,Water Air Soil Pollut,4,231,"Feed and Water Management May Influence the Heavy Metal Contamination in Domestic Ducks from Central Java, Indonesia",,10.1007/s11270-020-04559-1,1,33,R.,Susanti,2020,4.0,
2844,Springer Science and Business Media LLC,Water Air Soil Pollut,1-4,209,"Isotopic Record of Lead Contamination in Alluvial Soils and Tree Rings on Recent Floodplains (Southern Québec, Canada)",451-466,10.1007/s11270-009-0213-7,14,58,Diane,Saint-Laurent,2009,9.0,25.0
2845,Springer Science and Business Media LLC,Water Air Soil Pollut,1-4,198,"Effects of Heavy Metal Contamination (Cr, Cu, Pb, Cd) and Eutrophication on Zooplankton in the Lower Basin of the Salado River (Argentina)",317-334,10.1007/s11270-008-9848-z,42,57,A. M.,Gagneten,2008,11.0,28.0
2846,Wiley,European J Soil Science,3,72,Taxonomic and functional analysis of soil microbial communities in a mining site across a metal(loid) contamination gradient,1190-1205,10.1111/ejss.12979,13,93,Mariela,Navas,2020,5.0,18.0
2847,Wiley,Enviro Toxic and Chemistry,8,28,Toxicity of Trace Metals in Soil as Affected by Soil Type and Aging After Contamination: Using Calibrated Bioavailability Models to Set Ecological Soil Standards,1633-1642,10.1897/08-592.1,311,45,Erik,Smolders,2009,8.0,
2848,Informa UK Limited,Communications in Soil Science and Plant Analysis,1-6,40,"Sampling Strategies for Testing and Evaluation of Soil Contamination in Riparian Systems at the Tisza River Basin, Hungary",391-406,10.1080/00103620802649039,13,17,József,Prokisch,2009,3.0,
2849,Wiley,European J Soil Science,1,68,"Effect of arsenate contamination on free, immobilized and soil alkaline phosphatases: activity, kinetics and thermodynamics",126-135,10.1111/ejss.12397,34,41,Z. Q.,Wang,2016,11.0,24.0
2850,American Geophysical Union (AGU),Water Resources Research,3,29,Surface runoff contamination by chemicals initially incorporated below the soil surface,697-704,10.1029/92wr02160,14,25,Rony,Wallach,1993,3.0,
2851,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,5,2,A method of estimating 6-chloropicolinic acid in soil,289-292,10.1007/bf01684376,2,3,Carl T.,Redemann,1967,9.0,
2852,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,4,43,Bacterial abundance and activity in hazardous waste-contaminated soil,511-517,10.1007/bf01701928,6,9,Deborah,Dean-Ross,1989,10.0,
2853,Ovid Technologies (Wolters Kluwer Health),Health Physics,6,16,Relative Importance of Soil and Water in the Indirect Contamination of Flooded Rice with Radiocaesium,701-707,10.1097/00004032-196906000-00004,29,0,G.,Myttenaere,1969,6.0,
2854,Sciencedomain International,IJBCRR,2,4,"Effect of Sublethal Concentration of Heavy Metal Contamination on Soil Physicochemical Properties, Catalase and Dehydrogenase Activities",141-149,10.9734/ijbcrr/2014/6341,9,0,Linus,Nwaogu,2014,1.0,10.0
2855,IOP Publishing,J. Phys.: Conf. Ser.,1,1637,Study on Soil Heavy Metal Contamination and Risk Estimation in Sixian,012071,10.1088/1742-6596/1637/1/012071,0,15,Haimin,Su,2020,9.0,1.0
2856,Oxford University Press (OUP),,4,9,Reaction of the soil microflora after contamination with chlorinated aromatic compounds and HCH,275-282,10.1111/j.1574-6941.1992.tb01762.x,1,18,E.,Lang,1992,4.0,
2857,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,4,5,Decomposition of formetanate acaricide in soil,324-328,10.1007/bf01539945,5,4,Suresh K.,Arurkar,1970,7.0,
2858,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,1,51,Influence of ten herbicides on activities of microorganisms and enzymes in soil,,10.1007/bf00200997,2,0,C.M.,Tu,1993,7.0,
2859,Elsevier BV,Journal of Environmental Radioactivity,2,27,Analysis of potential radiocaesium soil contamination: A case study using two different simulation models,161-180,10.1016/0265-931x(95)00015-3,5,34,Danilo,Persicani,1995,1.0,
2860,Springer Science and Business Media LLC,Arch. Environ. Contam. Toxicol.,1,6,Degradation of carbaryl by soil microorganisms,47-56,10.1007/bf02097748,18,19,Lorraine D.,Rodriguez,1977,12.0,
2861,MDPI AG,Geosciences,9,9,Frequency Domain Electromagnetic Method (FDEM) as a Tool to Study Contamination at the Sub-Soil Layer,382,10.3390/geosciences9090382,5,33,Naftaly,Goldshleger,2019,8.0,31.0
2862,Elsevier BV,Chemosphere,10,88,An appraisal of soil diffuse contamination in an industrial district in northern Italy,1241-1249,10.1016/j.chemosphere.2012.03.081,26,43,M.,Biasioli,2012,8.0,
2863,Elsevier BV,Journal of Environmental Management,4,86,Multivariate statistics to investigate metal contamination in surface soil,581-594,10.1016/j.jenvman.2006.12.032,56,44,Ozan D.,Yay,2008,3.0,
2864,Juniper Publishers,IJESNR,3,28,Lethality of Crude Oil Contamination on Properties of Soil and Growth Parameters of Maize (Zea mays L.).,,10.19080/ijesnr.2021.28.556238,2,0,Agim,LC,2021,7.0,6.0
2865,Korean Society of Soil Science and Fertilizer,Korean J. Soil. Sci. Fert.,6,50,"Evaluation on Microbial Contamination in Chinese Cabbage
Cultivated Soil in Korea",538-546,10.7745/kjssf.2017.50.6.538,1,24,Kyu-Seok,Jung,2017,12.0,1.0
2866,MDPI AG,Minerals,5,11,"The Response of the Soil Microbiome to Contamination with Cadmium, Cobalt and Nickel in Soil Sown with Brassica napus",498,10.3390/min11050498,10,93,Edyta,Boros-Lajszner,2021,5.0,8.0
2867,Mongolian Journals Online,Mong. J. Agric. Sci.,03,22,Sources of heavy metal contamination in landfill soil covers of Ulaanbaatar,140-144,10.5564/mjas.v22i03.966,0,0,Minjmaa,B,2018,5.0,9.0
2868,University of the Aegean,,3,2,Detection of TNT-Contamination in spiked soil samples using SPME and GC/MS,227-236,10.30955/gnj.000153,0,0,,,2013,4.0,28.0
2869,IK Press,JOGEE,,,"EFFECTS OF THE 2, 4-DICHLOROPHENOXYACETIC ACID (2,4-D) HERBICIDE CONTAMINATION ON SOIL MICROBIOLOGY AT THE COMMUNITY LEVEL",27-38,10.56557/jogee/2022/v14i37439,0,0,S. A.,ADEJORO,2022,3.0,1.0
2870,AGHU University of Science and Technology Press,drill,4,33,Soil contamination by petroleum substances in the vicinity of oil production wells,723,10.7494/drill.2016.33.4.723,0,0,Joanna,Wartak,2016,,
2871,Elsevier BV,Environmental Advances,,13,"Contributions of contamination sources to soil lead concentrations of a smelter-affected community in South Australia, Australia",100434,10.1016/j.envadv.2023.100434,0,70,Dileepa,Alankarage,2023,10.0,
2872,ESRSA Publications Pvt. Ltd.,IJERT,11,V4,Change in Engineering Properties of Black Cotton Soil due to Acid Contamination,,10.17577/ijertv4is110311,0,0,,Sojil Jain,2015,11.0,19.0
2873,Elsevier BV,Science of The Total Environment,1-2,153,Soil and radiocaesium contamination of winter fodders,69-76,10.1016/0048-9697(94)90103-1,7,19,B.,Rafferty,1994,8.0,
2874,Informa UK Limited,Environmental Claims Journal,1,23,Method for Allocating Soil and Groundwater Contamination at Complex Sites,82-87,10.1080/10406026.2011.545709,2,1,Andrew,Smyth,2011,2.0,23.0
2875,Private Company Technology Center,EEJET,10 (106),4,Soil sampling when examining forests for radioactive contamination,6-17,10.15587/1729-4061.2020.209873,1,0,Viktoriia,Melnyk,2020,8.0,31.0
2876,Canadian Center of Science and Education,EMR,1,8,"Baseline Monitoring of Elemental Contamination Levels in Soil Samples in Elebele Community, Bayelsa State, Nigeria",20,10.5539/emr.v8n1p20,0,0,Nwankwoala,H. O.,2019,4.0,30.0
2877,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,1,49,Effect of three newer pesticides on microbial and enzymatic activities in soil,,10.1007/bf00193350,3,0,C.M.,Tu,1992,7.0,
2878,Gujarat University,IABCD,2,1,"ASSESSMENT OF HEAVY METAL CONTAMINATION IN SOIL SAMPLE NEAR INDUSTRIAL AREA OF MORBI, GUJARAT",320-323,10.56588/iabcd.v1i2.86,0,0,Roshni,Patel,2022,10.0,5.0
2879,MDPI AG,Inventions,3,5,Chemical and Physical Analysis of a Petroleum Hydrocarbon Contamination on a Soil Sample to Determine Its Natural Degradation Feasibility,43,10.3390/inventions5030043,9,12,Karuna,Arjoon,2020,8.0,20.0
2880,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,1,48,Atrazine soil extraction techniques for enzyme immunoassay microtiter plate analysis,,10.1007/bf00197497,11,0,G.K.,Stearman,1992,1.0,
2881,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,1,43,Pesticide degradation in model soil evaporation beds,36-44,10.1007/bf01702235,5,8,David M.,Hodapp,1989,7.0,
2882,Elsevier BV,Environmental Pollution (1970),4,12,Contamination of vegetation and soil by arsenic emissions from secondary lead smelters,311-320,10.1016/0013-9327(77)90025-8,33,16,P.J.,Temple,1977,4.0,
2883,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,3,28,Persistence of 4-chloro-2-methylphenoxyacetic acid in soil,348-352,10.1007/bf01608519,8,19,M. A.,Sattar,1982,3.0,
2884,Elsevier BV,Ecological Indicators,,115,Probabilistic indicators for soil and groundwater contamination risk assessment,106424,10.1016/j.ecolind.2020.106424,14,71,Daniele,la Cecilia,2020,8.0,
2885,Elsevier BV,Acta Ecologica Sinica,,,Distribution and potential contamination assessment of rare earth elements (REE) in Indonesian volcanic soil,,10.1016/j.chnaes.2023.05.010,1,74,Asep,Mulyono,2023,7.0,
2886,Elsevier BV,Chemosphere,,276,A holistic approach to soil contamination and sustainable phytoremediation with energy crops in the Aegean Region of Turkey,130192,10.1016/j.chemosphere.2021.130192,7,215,Benginur,Baştabak,2021,8.0,
2887,Canadian Center of Science and Education,EP,4,2,Contamination of Roadside Soil and Bush Mint (Hyptis suaveolens) with Trace Metals along Major Roads of Abuja,,10.5539/ep.v2n4p44,1,0,Ahmed,Usman,2013,8.0,22.0
2888,Mushroom Research Foundation,CREAM,4,5,The effect of continuous contamination of soil with heavy metals on growth of Pleurotus tuber-regium,362-366,10.5943/cream/5/4/6,0,0,CI,Anyakorah,2015,,
2889,Periodica Polytechnica Budapest University of Technology and Economics,Period. Polytech. Civil Eng.,,,Swelling of Natural Soil Subjected to Acidic and Alkaline Contamination,,10.3311/ppci.8185,5,0,Hariprasad Reddy,Ponnapureddy,2017,2.0,14.0
2890,University of Mosul,RJS,1,27,Studying the Effect of Fertilized Soil by Comparing of some Indicators of Radioactive Contamination,168-182,10.33899/rjs.2018.141109,0,0,Hana,I. Hasan,2018,3.0,1.0
2891,New Delhi Publishers,JAR,3,12,"""Long-Term Operation of Brick-Kilns Led Heavy Metal Contamination of Soil-Plant-Animal Continuum in Kashmir Himalayas""",,10.30954/2277-940x.03.2022.11,0,0,"A.M. ,",Bhat,2022,6.0,12.0
2892,"EM International, Publishers of Quality International Journals",EEC,,28,Contamination of groundwater with heavy metals and its impact on soil and plants – A review,331-335,10.53550/eec.2022.v28i07s.054,0,0,Humnabad,Srikanth,2022,,
2893,National Academy of Sciences of Belarus,Prirodopolʹzovanie,2,,TRENDS OF SOIL CONTAMINATION WITH HEAVY METALS AND OIL PRODUCTS IN THE CITIES OF BELARUS,112-121,10.47612/2079-3928-2022-2-112-121,0,12,V. S.,Khomich,2022,12.0,12.0
2894,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,4,17,"Degradation of endosulfan-8,9-14C in soil under different conditions",438-446,10.1007/bf01685936,41,7,R.,Martens,1977,4.0,
2895,Frontiers Media SA,Front. Environ. Sci.,,2,"Arsenic contamination in shallow groundwater and agricultural soil of Chakdaha block, West Bengal, India",,10.3389/fenvs.2014.00050,44,68,Anamika,Shrivastava,2014,11.0,19.0
2896,Elsevier BV,Science of The Total Environment,,832,Quantifying diffuse contamination: Comparing silver and mercury in organogenic and minerogenic soil,155065,10.1016/j.scitotenv.2022.155065,6,53,Clemens,Reimann,2022,8.0,
2897,Elsevier BV,Ecological Engineering,,102,Potential of using immobilizing agents in aided phytostabilization on simulated contamination of soil with lead,490-500,10.1016/j.ecoleng.2017.02.028,47,74,M.,Radziemska,2017,5.0,
2898,"Scientific Research Publishing, Inc.",GEP,06,09,Effect of Heavy Metal Contamination on Soil Enzymes Activities,135-154,10.4236/gep.2021.96008,5,72,Justice Ofori,Yeboah,2021,,
2899,Kalvis,Èkol. prom. Ross.,8,22,Analysis of methods to eliminate soil contamination with rocket fuel,55-59,10.18412/1816-0395-2018-8-55-59,1,18,E.M.,Messineva,2018,8.0,1.0
2900,Polish Society for Magnesium Research,J. Elem.,1/2010,,The effect of soil contamination with diesel oil and petrol on the nitrification process,,10.5601/jelem.2010.15.1.111-118,7,0,Jan,Kucharski,2012,3.0,12.0
2901,Springer Science and Business Media LLC,At Energy,3,88,137Cs vertical migration and contamination density in the soil of southern transbaikal,210-216,10.1007/bf02673162,1,27,K. P.,Makhon'ko,2000,3.0,
2902,"Scientific Research Publishing, Inc.",JEP,05,07,Contamination of Paddy Soil and Rice with Arsenic,689-698,10.4236/jep.2016.75061,4,25,Khageshwar Singh,Patel,2016,,
2903,"Trans Tech Publications, Ltd.",AMM,,522-524,The Content and Contamination Characteristic of Heavy Metals in Road Greenbelt Soil,758-762,10.4028/www.scientific.net/amm.522-524.758,1,10,Hong Xia,Du,2014,2.0,
2904,National Academy of Sciences of Belarus,Prirodopolʹzovanie,1,,SOIL CONTAMINATION IN THE IMPACT ZONES OF ELECTRONIC AND ELECTRICAL EQUIPMENT PRODUCTION AND WASTE RECYCLING,118-126,10.47612/2079-3928-2021-1-118-126,0,23,Vladimir D.,Chernyuk,2021,6.0,30.0
2905,African Journals Online (AJOL),sa,1,21,"Investigation of soil contamination in a lubricant retail market in Ikoku, Port Harcourt, Nigeria.",253-266,10.4314/sa.v21i1.22,0,0,E. Dike O.,Obioma,2022,6.0,1.0
2906,Institute of Rural Health,Ann Agric Environ Med,,,Stray dogs and cats as potential sources of soil contamination with zoonotic parasites,,10.5604/12321966.1230730,1,0,Katarzyna,Szwabe,2017,1.0,3.0
2907,Springer Science and Business Media LLC,Ann Microbiol,1,65,Impact of petroleum hydrocarbon contamination on the indigenous soil microbial community,359-369,10.1007/s13213-014-0868-1,21,37,Simrita,Cheema,2014,5.0,2.0
2908,National Academy of Sciences of the Republic of Kazakshtan,Reports,343,3,ENVIRONMENTAL ASSESSMENT OF SOIL CONTAMINATION OF THE OIL AND GAS ZONE INDUSTRY ZONE,78-91,10.32014/2022.2518-1483.160,1,0,Ch.S.,Aliyev,2022,10.0,10.0
2909,Brill,WMJ,1,11,Addressing the mycotoxin deoxynivalenol contamination with soil-derived bacterial and enzymatic transformations targeting the C3 carbon,101-112,10.3920/wmj2017.2259,15,81,Y.I.,Hassan,2018,2.0,23.0
2910,Lupine Publishers LLC,OAJESS,2,1,Evaluation of Host Associated Genetic Markers for Rapid PCR Based Identification of Fecal Contamination Sources in Water,,10.32474/oajess.2018.01.000107,1,0,Jia,Xue,2018,8.0,28.0
2911,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,6,16,Persistence and biodegradation of hinosan in soil,709-715,10.1007/bf01685577,3,6,K. P.,Rajaram,1976,12.0,
2912,Egypts Presidential Specialized Council for Education and Scientific Research,Zagazig Journal of Agricultural Research,4,44,CAPABILITY OF FIELD SPECTROSCOPY FOR THE ASSESSMENT OF SOIL CONTAMINATION IN SOUTHERN PORT-SAID GOVERNORATE,1303-1314,10.21608/zjar.2017.52930,0,0,,,2017,7.0,1.0
2913,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,1,25,Adaptation of a soil bacterium to hydrazine propellants,762-770,10.1007/bf01985605,7,7,Charlie,Mantel,1980,12.0,
2914,Elsevier BV,Chemometrics and Intelligent Laboratory Systems,1-2,3,Spatial resolution of groundwater contamination by soil-gas measurement,73-78,10.1016/0169-7439(88)80068-6,1,7,H.B.,Kerfoot,1988,2.0,
2915,Elsevier BV,Parasitology International,1,46,The role of some environmental factors in the contamination of soil with Toxocara spp. and other geohelminth eggs,67-72,10.1016/s1383-5769(97)00011-1,30,17,Hanna,Mizgajska,1997,3.0,
2916,IWA Publishing,,4-5,33,The potential impact of soil carbon content on ground water nitrate contamination,227-232,10.2166/wst.1996.0509,5,0,D. D.,Adelman,1996,2.0,1.0
2917,Elsevier BV,Ecological Engineering,4,25,"Influence of night soil contamination on activated sludge microbial communities in Bangkok, Thailand",395-404,10.1016/j.ecoleng.2005.06.007,7,40,Rabindra Raj,Giri,2005,11.0,
2918,American Association of Petroleum Geologists AAPG/Datapages,Environ Geosci,2,5,Methyl Tertiary Butyl Ether Contamination of Soil and Groundwater,79-86,10.1046/j.1526-0984.1998.08012.x,9,7,HENRY B.,KERFOOT,1998,6.0,
2919,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,2,29,Enzymatic hydrolysis of concentrated diazinon in soil,235-239,10.1007/bf01606156,20,4,Sudhakar,Barik,1982,8.0,
2920,"Wydawnictwo SIGMA-NOT, sp. z.o.o.",CHEMICAL REVIEW,5,1,"Soil contamination with hydrocarbons on the areas of the former gas - works Zanieczyszczenia gruntów węglowodorami na terenach ""starych gazowni""",70-73,10.15199/62.2017.5.12,0,0,Jan,Macuda,2017,5.0,5.0
2921,"Sel'skokhozyaistvennaya Biologiya Editorial Office (SBEO), NPO",S-h. biol.,1,,FLUORIDE CONTAMINATION OF SOIL AND PHYTOREMEDIATION (review),3-14,10.15389/agrobiology.2013.1.3eng,1,0,V.I.,Polonskii,2013,2.0,
2922,Private Company Technology Center,EEJET,4(73),1,Mathematical modeling of soil contamination as a result of technological processes,4,10.15587/1729-4061.2015.35952,0,0,Андрій Петрович,Олійник,2015,2.0,27.0
2923,Wiley,Groundwater Monitoring Rem,3,16,Mathed Used Soil‐Gas Date to Evaluate Threat of Contamination,22-22,10.1111/j.1745-6592.1996.tb00136.x,0,0,,,1996,8.0,
2924,Elsevier BV,Materials Today: Proceedings,,72,Soil contamination by waste transformer oil: A review,306-310,10.1016/j.matpr.2022.07.403,3,29,Richa,Tiwari,2023,,
2925,Elsevier BV,International Biodeterioration &amp; Biodegradation,7,65,Molecular assessment on impact of uranium ore contamination in soil bacterial diversity,1043-1051,10.1016/j.ibiod.2011.08.005,19,36,Ekramul,Islam,2011,10.0,
2926,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,1,20,Photolysis of TCDD and trifluralin on silica and soil,87-92,10.1007/bf01683490,18,5,J. R.,Plimmer,1978,7.0,
2927,National Centre of Excellence in Analytical Chemistry,Pak J Anal Environ Chem,2,21,10.21743/pjaec/2020.12.35 Soil Contamination Due to Heavy Metal,332-341,10.21743/pjaec/2020.12.35,2,0,Abdul,Rafeeq,2020,12.0,24.0
2928,Springer Science and Business Media LLC,Environ Syst Res,1,4,Analyzing soil contamination status in garage and auto mechanical workshops of Shashemane City: implication for hazardous waste management,,10.1186/s40068-015-0040-3,12,42,Getachew,Demie,2015,9.0,15.0
2929,African Journals Online (AJOL),J. Aq. Sci.,1B,32,"Copper, nickel, zinc, cadmium and lead contamination of soil at Kureepuzha near Ashtamudi Lake, Kollam District, India",125,10.4314/jas.v32i1a.15,0,0,S. Synudeen,Sahib,2018,1.0,31.0
2930,"Trans Tech Publications, Ltd.",AMM,,842,"Determination of Lead Contamination in Urban Soil, Yogyakarta City, Indonesia",473-477,10.4028/www.scientific.net/amm.842.473,0,0,Saw Aung,Zaw Aye,2016,6.0,
2931,Springer Science and Business Media LLC,,6,66,Accumulation of Cd and Pb in Spring Wheat (.) Grown in Calcareous Soil Irrigated with Wastewater,0748-0754,10.1007/s00128-001-0072-4,0,0,Z.,Nan,2001,6.0,
2932,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,1,25,Oxychlordane residues in soil,49-54,10.1007/bf01985485,5,11,J. F.,Suprock,1980,12.0,
2933,Elsevier BV,Journal of Environmental Radioactivity,1,29,Soil contamination of plant surfaces from grazing and rainfall interactions,11-26,10.1016/0265-931x(95)00008-x,27,36,T.G.,Hinton,1995,1.0,
2934,Springer Science and Business Media LLC,Mycotox Res,2,23,Strategies to reduce DON contamination of wheat with different soil tillage and variety systems,73-77,10.1007/bf02946029,19,10,E.,Oldenburg,2007,6.0,
2935,Science Alert,Pakistan J. of Biological Sciences,1,23,"Evaluation of Soil Contamination with Industrial Waste Effluent in Riyadh, Saudi Arabia",9-16,10.3923/pjbs.2020.9.16,2,8,Saleh O.,Alaswad,2019,12.0,15.0
2936,Indian Society for Education and Environment,,30,9,Influence of Acid Contamination on Morphology and Mineralogy of Black Cotton Soil,,10.17485/ijst/2016/v9i30/99190,1,0,Ch.,Rama Vara Prasad,2016,8.0,22.0
2937,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,2,48,Influence of soil moisture and microbial activity on pendimethalin degradation,,10.1007/bf00194383,34,0,G.,Kulshrestha,1992,2.0,
2938,Elsevier BV,Chemosphere,,297,Traffic emission dominates the spatial variations of metal contamination and ecological-health risks in urban park soil,134155,10.1016/j.chemosphere.2022.134155,10,57,Xiaoyu,Wang,2022,6.0,
2939,Springer Science and Business Media LLC,Bull. Environ. Contam. Toxicol.,1,32,"2,3,6-trichlorophenylacetic acid (fenac) degradation in aqueous and soil systems",383-390,10.1007/bf01607513,8,15,Arthur,Rosenberg,1984,12.0,
